player_id,player_name,age,password,position,team_id,team_name,season_year,games,minutes,goals,assists,pre_assists,clearances,chances_created,shots,shots_on_target,pass_accuracy,yellow_cards,red_cards,injured,score
P0,Mohamed Salah,25,12345678,RW,T11,Liverpool,2017,36,2920,32,11,6,10,68,137,72,83.4,1,0,0,9.81
P0,Mohamed Salah,26,12345678,RW,T11,Liverpool,2018,38,3261,22,8,5,12,64,128,64,84.0,1,0,0,8.95
P0,Mohamed Salah,27,12345678,RW,T11,Liverpool,2019,34,2888,19,10,6,14,61,119,61,84.6,1,0,0,8.52
P0,Mohamed Salah,28,12345678,RW,T11,Liverpool,2020,37,3082,22,5,5,13,58,125,59,85.1,0,0,1,8.34
P0,Mohamed Salah,29,12345678,RW,T11,Liverpool,2021,35,2762,23,13,7,10,70,132,69,85.7,1,0,0,9.12
P0,Mohamed Salah,30,12345678,ED,T11,Liverpool,2022,38,3297,19,12,8,9,65,126,67,86.3,2,0,0,8.73
P1,Valentín Barco,16,84521963,LI,T10,Boca Juniors,2020,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.00
P1,Valentín Barco,17,84521963,LI,T10,Boca Juniors,2021,3,206,0,0,1,5,3,1,0,79.5,1,0,0,6.12
P1,Valentín Barco,18,84521963,LI,T10,Boca Juniors,2022,9,760,3,0,1,12,11,4,2,81.3,1,0,0,7.02
P1,Valentín Barco,19,84521963,LI,T10,Boca Juniors,2023,32,2326,1,4,5,41,38,16,6,83.1,8,0,0,8.45
P2,Daniel Carvajal,22,56382914,LD,T12,Real Madrid,2014,30,2276,0,3,4,85,24,9,3,85.3,12,0,0,7.89
P2,Daniel Carvajal,23,56382914,LD,T12,Real Madrid,2015,22,1635,0,4,5,73,21,8,2,86.1,6,0,0,7.76
P2,Daniel Carvajal,24,56382914,LD,T12,Real Madrid,2016,23,2014,0,5,6,80,26,10,3,86.9,9,0,0,8.05
P2,Daniel Carvajal,25,56382914,LD,T12,Real Madrid,2017,25,2223,0,2,4,90,22,7,2,87.5,11,1,0,7.48
P2,Daniel Carvajal,26,56382914,LD,T12,Real Madrid,2018,24,2106,1,3,5,84,25,10,3,88.0,10,0,0,7.61
P2,Daniel Carvajal,27,56382914,LD,T12,Real Madrid,2019,31,2739,1,6,7,92,33,12,4,87.9,11,0,0,8.42
P2,Daniel Carvajal,28,56382914,LD,T12,Real Madrid,2020,13,952,0,4,5,51,17,5,2,88.6,5,0,1,7.92
P3,Fernando Álvarez Martínez,22,54504891,DC,T88,Dortmund,2018,32,1860,6,6,6,3,29,57,30,66.7,1,0,7,5.28
P3,Fernando Álvarez Martínez,23,54504891,DC,T88,Dortmund,2019,42,2920,7,8,12,8,33,83,33,70.7,0,1,4,9.03
P3,Fernando Álvarez Martínez,24,54504891,DC,T28,Barcelona,2020,50,4306,22,13,11,14,58,123,56,69.7,0,0,0,9.57
P3,Fernando Álvarez Martínez,25,54504891,DC,T28,Barcelona,2021,50,3596,19,12,11,17,50,92,44,60.8,6,1,0,8.59
P3,Fernando Álvarez Martínez,26,54504891,DC,T51,Benfica,2022,50,3963,12,11,14,14,58,119,59,74.0,4,0,0,9.42
P3,Fernando Álvarez Martínez,27,54504891,DC,T51,Benfica,2023,50,2928,19,4,11,9,41,65,32,72.5,3,0,0,5.71
P3,Fernando Álvarez Martínez,28,54504891,DC,T72,Milan,2024,44,3197,11,4,11,10,51,80,37,69.8,4,0,3,7.69
P3,Fernando Álvarez Martínez,29,54504891,DC,T72,Milan,2025,50,3325,12,7,9,16,42,100,48,80.3,10,0,0,7.14
P4,Luis Wilson Rodríguez,17,16960642,RW,T47,Sporting Club,2016,13,735,2,0,3,6,13,19,8,79.8,2,0,0,5.45
P4,Luis Wilson Rodríguez,18,16960642,RW,T20,Barcelona,2017,8,369,3,2,4,2,9,5,1,75.1,1,0,0,8.14
P4,Luis Wilson Rodríguez,19,16960642,RW,T20,Barcelona,2018,30,1670,4,6,9,12,20,32,7,75.5,0,0,2,7.11
P4,Luis Wilson Rodríguez,20,16960642,RW,T77,Sporting Club,2019,33,2549,14,7,14,11,52,56,19,81.4,4,0,3,9.98
P4,Luis Wilson Rodríguez,21,16960642,RW,T77,Sporting Club,2020,8,461,3,1,0,3,2,4,0,70.9,0,0,12,9.86
P4,Luis Wilson Rodríguez,22,16960642,RW,T77,Sporting Club,2021,28,1662,2,7,12,14,37,25,14,75.4,2,0,8,5.06
P4,Luis Wilson Rodríguez,23,16960642,RW,T77,Sporting Club,2022,34,2657,12,7,9,23,44,53,26,75.6,1,0,8,8.41
P4,Luis Wilson Rodríguez,24,16960642,RW,T77,Sporting Club,2023,44,3389,14,7,6,26,52,67,32,74.9,3,0,3,6.33
P4,Luis Wilson Rodríguez,25,16960642,RW,T77,Sporting Club,2024,40,2147,9,8,12,18,38,50,18,80.4,4,0,5,5.56
P4,Luis Wilson Rodríguez,26,16960642,RW,T1,Benfica,2025,50,3935,10,9,18,33,71,85,35,75.4,2,0,0,9.77
P5,Rafael Granados,16,38603385,MCD,T98,Atletico de Madrid,2015,1,36,0,0,0,1,0,1,1,81.1,0,0,0,6.49
P5,Rafael Granados,17,38603385,MCD,T98,Atletico de Madrid,2016,14,489,0,0,0,13,3,0,0,87.1,1,0,0,8.04
P5,Rafael Granados,18,38603385,MCD,T21,Inter de Milán,2017,16,576,1,1,1,17,4,2,1,85.2,0,0,0,7.7
P5,Rafael Granados,19,38603385,MCD,T21,Inter de Milán,2018,34,2256,2,1,2,66,10,5,0,77.5,2,1,1,7.65
P5,Rafael Granados,20,38603385,MCD,T63,PSG,2019,21,1588,2,1,3,46,9,3,1,81.9,2,0,5,5.1
P5,Rafael Granados,21,38603385,MCD,T63,PSG,2020,23,1422,1,1,2,41,6,4,1,82.3,2,0,8,9.39
P5,Rafael Granados,22,38603385,MCD,T63,PSG,2021,26,1526,2,2,1,37,4,2,1,87.8,2,0,9,6.54
P5,Rafael Granados,23,38603385,MCD,T73,Napoli,2022,27,1856,0,1,2,57,6,5,1,83.7,0,0,11,9.73
P5,Rafael Granados,24,38603385,MCD,T9,Benfica,2023,45,3650,3,1,5,85,10,10,4,86.0,6,0,2,9.89
P5,Rafael Granados,25,38603385,MCD,T9,Benfica,2024,50,3090,2,2,4,93,18,7,1,76.5,6,0,0,5.63
P5,Rafael Granados,26,38603385,MCD,T9,Benfica,2025,50,2542,1,0,1,81,8,12,5,89.1,2,0,0,9.73
P6,Sergio Ocampo,22,79655458,LI,T68,Liverpool,2022,39,2324,0,4,3,75,17,13,3,74.8,1,0,4,9.64
P6,Sergio Ocampo,23,79655458,LI,T68,Liverpool,2023,41,2208,0,3,5,77,18,9,2,74.6,3,0,4,8.45
P6,Sergio Ocampo,24,79655458,LI,T68,Liverpool,2024,49,3105,0,2,10,98,30,12,2,73.8,0,0,0,6.99
P6,Sergio Ocampo,25,79655458,LI,T68,Liverpool,2025,32,1973,0,1,3,50,14,10,2,81.5,2,0,9,6.87
P7,Alberto Anderson Torres,17,16525543,DC,T76,Real Madrid,2016,13,597,4,1,5,3,9,19,5,70.2,0,0,0,7.77
P7,Alberto Anderson Torres,18,16525543,DC,T76,Real Madrid,2017,20,590,3,0,0,0,6,20,8,71.2,1,0,0,5.04
P7,Alberto Anderson Torres,19,16525543,DC,T76,Real Madrid,2018,8,595,2,2,1,3,5,15,7,66.0,0,0,4,5.29
P7,Alberto Anderson Torres,20,16525543,DC,T43,Real Madrid,2019,25,1350,10,4,4,5,18,47,23,66.3,1,0,5,5.35
